OID	rank	time	OID_from
3691	2	36	616
3692	4	99	669
3693	9	79	1239
3694	7	85	559
3695	No	#	#
3696	4	49	809
3697	7	85	113
3698	3	47	687
3699	No	#	#
3700	3	45	803
3701	4	92	455
3702	No	#	#
3703	No	#	#
3704	No	#	#
3705	No	#	#
3706	No	#	#
3707	No	#	#
3708	No	#	#
3709	3	99	1479
3710	5	100	388
3711	2	69	116
3712	No	#	#
3713	No	#	#
3714	No	#	#
3715	No	#	#
3716	No	#	#
3717	No	#	#
3718	No	#	#
3719	No	#	#
3720	No	#	#
3721	2	61	423
3722	No	#	#
3723	No	#	#
3724	No	#	#
3725	No	#	#
3726	No	#	#
3727	No	#	#
3728	No	#	#
3729	No	#	#
3730	No	#	#
3731	6	81	1048
3732	No	#	#
3733	7	92	1325
3734	No	#	#
3735	No	#	#
3736	3	74	647
3737	5	86	1057
3738	6	82	1398
3739	1	89	720
3740	No	#	#
3741	No	#	#
3742	7	75	785
3743	No	#	#
3744	No	#	#
3745	No	#	#
3746	No	#	#
3747	No	#	#
3748	No	#	#
3749	No	#	#
3750	No	#	#
3751	No	#	#
3752	No	#	#
3753	No	#	#
3754	No	#	#
3755	No	#	#
3756	No	#	#
3757	No	#	#
3758	No	#	#
3759	No	#	#
3760	No	#	#
3761	No	#	#
3762	No	#	#
3763	No	#	#
3764	No	#	#
3765	No	#	#
3766	No	#	#
3767	No	#	#
3768	2	82	167
3769	No	#	#
3770	No	#	#
3771	No	#	#
3772	No	#	#
3773	No	#	#
3774	No	#	#
3775	No	#	#
3776	No	#	#
3777	No	#	#
3778	No	#	#
3779	No	#	#
3780	No	#	#
3781	No	#	#
3782	4	97	1203
3783	2	74	228
3784	2	74	228
3785	2	74	228
3786	2	74	228
3787	2	74	228
3788	2	74	228
3789	5	89	610
3790	2	96	169
3791	No	#	#
3792	2	100	169
3793	No	#	#
3794	No	#	#
3795	No	#	#
3796	3	63	68
3797	4	76	1390
3798	No	#	#
3799	4	76	1390
3800	5	99	1395
3801	4	76	1390
3802	4	76	1390
3803	4	95	668
3804	5	81	1400
3805	6	81	1401
3806	4	81	1059
3807	5	81	1400
3808	4	95	668
3809	4	95	668
3810	5	57	1031
3811	2	70	563
3812	6	97	1404
3813	2	70	563
3814	2	70	563
3815	2	70	563
3816	2	70	563
3817	No	#	#
3818	No	#	#
3819	No	#	#
3820	No	#	#
3821	No	#	#
3822	No	#	#
3823	No	#	#
3824	3	88	1476
3825	4	71	591
3826	3	88	1476
3827	3	88	1476
3828	4	71	591
3829	3	88	1476
3830	3	88	1476
3831	No	#	#
3832	No	#	#
3833	No	#	#
3834	No	#	#
3835	No	#	#
3836	No	#	#
3837	No	#	#
3838	No	#	#
3839	No	#	#
3840	No	#	#
3841	No	#	#
3842	No	#	#
3843	No	#	#
3844	No	#	#
3845	3	81	1147
3846	3	80	1147
3847	No	#	#
3848	No	#	#
3849	No	#	#
3850	No	#	#
3851	No	#	#
3852	No	#	#
3853	No	#	#
3854	No	#	#
3855	No	#	#
3856	No	#	#
3857	No	#	#
3858	No	#	#
3859	No	#	#
3860	No	#	#
3861	No	#	#
3862	1	97	720
3863	3	98	667
3864	No	#	#
3865	No	#	#
3866	No	#	#
3867	No	#	#
3868	No	#	#
3869	No	#	#
3870	No	#	#
3871	No	#	#
3872	No	#	#
3873	No	#	#
3874	No	#	#
3875	7	95	1062
3876	No	#	#
3877	7	79	663
3878	No	#	#
3879	No	#	#
3880	1	73	121
3881	3	100	371
3882	2	71	1130
3883	No	#	#
3884	No	#	#
3885	2	84	116
3886	3	45	687
3887	5	81	1400
3888	No	#	#
3889	No	#	#
3890	No	#	#
3891	No	#	#
3892	3	88	687
3893	3	92	773
3894	3	94	797
3895	No	#	#
3896	No	#	#
3897	No	#	#
3898	5	93	729
3899	No	#	#
3900	3	96	1147
3901	No	#	#
3902	3	70	1315
3903	3	95	1146
3904	2	90	423
3905	No	#	#
3906	2	90	423
3907	No	#	#
3908	1	56	436
3909	No	#	#
3910	No	#	#
3911	3	89	1220
3912	No	#	#
3913	No	#	#
3914	No	#	#
3915	2	17	1204
3916	2	17	1204
3917	2	17	1204
3918	2	17	1204
3919	3	45	1509
3920	No	#	#
3921	No	#	#
3922	No	#	#
3923	4	97	1203
3924	2	74	228
3925	2	74	228
3926	2	74	228
3927	2	74	228
3928	2	74	228
3929	2	74	228
3930	5	89	610
3931	2	96	169
3932	No	#	#
3933	2	100	169
3934	No	#	#
3935	No	#	#
3936	No	#	#
3937	3	63	68
3938	4	76	1390
3939	No	#	#
3940	4	76	1390
3941	5	99	1395
3942	4	76	1390
3943	4	76	1390
3944	4	95	668
3945	5	81	1400
3946	6	81	1401
3947	4	81	1059
3948	5	81	1400
3949	4	95	668
3950	4	95	668
3951	5	57	1031
3952	2	70	563
3953	6	97	1404
3954	2	70	563
3955	2	70	563
3956	2	70	563
3957	2	70	563
3958	No	#	#
3959	No	#	#
3960	No	#	#
3961	No	#	#
3962	No	#	#
3963	No	#	#
3964	No	#	#
3965	3	88	1476
3966	4	71	591
3967	3	88	1476
3968	3	88	1476
3969	4	71	591
3970	3	88	1476
3971	3	88	1476
3972	No	#	#
3973	No	#	#
3974	No	#	#
3975	No	#	#
3976	No	#	#
3977	No	#	#
3978	No	#	#
3979	No	#	#
3980	No	#	#
3981	6	81	1401
3982	4	81	1059
3983	5	81	1400
3984	4	95	668
3985	4	95	668
3986	5	57	1031
3987	2	70	563
3988	6	97	1404
3989	2	70	563
3990	2	70	563
3991	2	70	563
3992	2	70	563
3993	No	#	#
3994	No	#	#
3995	No	#	#
3996	No	#	#
3997	No	#	#
3998	No	#	#
3999	No	#	#
4000	3	88	1476
